Datetime,Adj Close,Close,High,Low,Open,Volume
2023-01-19 14:30:00+00:00,100.7699966,100.7699966,101.7899017,99.30000305,99.30999756,1220177
2023-01-19 15:30:00+00:00,98.89990234,98.89990234,100.8199997,98.80999756,100.7600021,614532
2023-01-19 16:30:00+00:00,98.86499786,98.86499786,99.02999878,98.19999695,98.87000275,601030
2023-01-19 17:30:00+00:00,99,99,99.25,98.27999878,98.88999939,324461
2023-01-19 18:30:00+00:00,100.3000031,100.3000031,100.3988037,98.93000031,99.00499725,533363
2023-01-19 19:30:00+00:00,100.5800018,100.5800018,100.6699982,100.0899963,100.3000031,374378
2023-01-19 20:30:00+00:00,99.84999847,99.84999847,100.5500031,99.69000244,100.5500031,649543
2023-01-20 14:30:00+00:00,101.4400024,101.4400024,102.3499985,99.56999969,100.3199997,751560
2023-01-20 15:30:00+00:00,102.4473038,102.4473038,102.4599991,100.8300018,101.4499969,570551
2023-01-20 16:30:00+00:00,102.2850037,102.2850037,102.6999969,101.6812973,102.4499969,409272
2023-01-20 17:30:00+00:00,102.1500015,102.1500015,102.4800034,101.8349991,102.2600021,275570
2023-01-20 18:30:00+00:00,102.8949966,102.8949966,103.25,102.1299973,102.1500015,379321
2023-01-20 19:30:00+00:00,102.8649979,102.8649979,103.7600021,102.7155991,102.9199982,473670
2023-01-20 20:30:00+00:00,103.4000015,103.4000015,103.4700012,102.6900024,102.8700027,612325
2023-01-23 14:30:00+00:00,104.3600006,104.3600006,104.7300034,102.0100021,102.0699997,966945
2023-01-23 15:30:00+00:00,104.5899963,104.5899963,105.4199982,104.4000015,104.4000015,487010
2023-01-23 16:30:00+00:00,104.5449982,104.5449982,105.3099976,104.2900009,104.6600037,413447
2023-01-23 17:30:00+00:00,105.3499985,105.3499985,105.4300003,104.1999969,104.5599976,317898
2023-01-23 18:30:00+00:00,105.2600021,105.2600021,105.75,104.9300003,105.3799973,360926
2023-01-23 19:30:00+00:00,105.8099976,105.8099976,105.8799973,104.75,105.3000031,414927
2023-01-23 20:30:00+00:00,106.2799988,106.2799988,106.3499985,105.6800003,105.8300018,514470
2023-01-24 14:30:00+00:00,105.9582977,105.9582977,109.009903,105.2300034,107.1549988,1661117
2023-01-24 15:30:00+00:00,105.5100021,105.5100021,106.1679993,105.0100021,105.8399963,640476
2023-01-24 16:30:00+00:00,105.1200027,105.1200027,105.6299973,104.649498,105.5299988,416156
2023-01-24 17:30:00+00:00,105.0599976,105.0599976,105.1600037,104.4899979,105.1200027,595255
2023-01-24 18:30:00+00:00,104.5400009,104.5400009,105.1699982,104.4700012,105.0400009,393708
2023-01-24 19:30:00+00:00,104.8901978,104.8901978,105.0100021,104.1350021,104.5500031,520754
2023-01-24 20:30:00+00:00,104.6100006,104.6100006,104.9150009,104.3519974,104.9100037,543776
2023-01-25 14:30:00+00:00,97.64499664,97.64499664,101.75,97.41999817,101.7200012,2088356
2023-01-25 15:30:00+00:00,98.60500336,98.60500336,98.93000031,97.26000214,97.64749908,1408718
2023-01-25 16:30:00+00:00,99.12000275,99.12000275,99.81999969,98.58000183,98.59999847,713729
2023-01-25 17:30:00+00:00,100.6999969,100.6999969,100.7750015,98.93000031,99.16000366,487865
2023-01-25 18:30:00+00:00,101.1600037,101.1600037,101.3199997,100.4199982,100.7099991,811709
2023-01-25 19:30:00+00:00,101.0999985,101.0999985,101.9400024,100.7399979,101.1699982,895798
2023-01-25 20:30:00+00:00,100.8199997,100.8199997,101.1200027,100.5299988,101.0899963,973144
2023-01-26 14:30:00+00:00,103.3000031,103.3000031,103.8700027,100.8799973,102.6299973,1439134
2023-01-26 15:30:00+00:00,102.1600037,102.1600037,103.6200027,101.5899963,103.3000031,534833
2023-01-26 16:30:00+00:00,103.3676987,103.3676987,103.4449997,102.0299988,102.1900024,452530
2023-01-26 17:30:00+00:00,102.6200027,102.6200027,104.0500031,102.5,103.3700027,718930
2023-01-26 18:30:00+00:00,103.5500031,103.5500031,103.7799988,102.3600006,102.6200027,562206
2023-01-26 19:30:00+00:00,103.75,103.75,103.8199997,102.9800034,103.5400009,754588
2023-01-26 20:30:00+00:00,104.4800034,104.4800034,104.5500031,103.4899979,103.7300034,1180943
2023-01-27 14:30:00+00:00,104.4800034,104.4800034,105.4400024,103.1800003,103.6100006,1212693
2023-01-27 15:30:00+00:00,102.8050003,102.8050003,104.6699982,102.5199966,104.4400024,832908
2023-01-27 16:30:00+00:00,104.219902,104.219902,104.8000031,102.6800003,102.8249969,704667
2023-01-27 17:30:00+00:00,105.169899,105.169899,105.169899,103.9400024,104.1100006,464230
2023-01-27 18:30:00+00:00,105.2369995,105.2369995,105.8411026,104.5500031,105.1699982,713841
2023-01-27 19:30:00+00:00,105.6999969,105.6999969,105.7300034,105.0800018,105.1999969,545991
2023-01-27 20:30:00+00:00,104.3499985,104.3499985,105.75,104.3099976,105.7099991,1230143
2023-01-30 14:30:00+00:00,102.1350021,102.1350021,103.5800018,101.7699966,102.9800034,989261
2023-01-30 15:30:00+00:00,102.5899963,102.5899963,102.5899963,100.9700012,102.1200027,616296
2023-01-30 16:30:00+00:00,102.6350021,102.6350021,102.9700012,101.8000031,102.7399979,559025
2023-01-30 17:30:00+00:00,101.9049988,101.9049988,102.6387024,101.7200012,102.6387024,646075
2023-01-30 18:30:00+00:00,101.6200027,101.6200027,102,101.3199997,101.8799973,386293
2023-01-30 19:30:00+00:00,101.5,101.5,101.7600021,100.875,101.6050034,781828
2023-01-30 20:30:00+00:00,101.3899994,101.3899994,101.8600006,101.2600021,101.4950027,899406
2023-01-31 14:30:00+00:00,102.1699982,102.1699982,102.7998962,100.7399979,101,748206
2023-01-31 15:30:00+00:00,103.8700027,103.8700027,103.9649963,101.9300995,102.1600037,940934
2023-01-31 16:30:00+00:00,104.1900024,104.1900024,104.3199997,103.5199966,103.8799973,507829
2023-01-31 17:30:00+00:00,103.5449982,103.5449982,104.4700012,103.5199966,104.1900024,320011
2023-01-31 18:30:00+00:00,104.3949966,104.3949966,104.4401016,103.4449997,103.5500031,313431
2023-01-31 19:30:00+00:00,105.0500031,105.0500031,105.3199997,104.3399963,104.4199982,534378
2023-01-31 20:30:00+00:00,105.9000015,105.9000015,105.9199982,104.9599991,105.0899963,695917
2023-02-01 14:30:00+00:00,107.1600037,107.1600037,107.1600037,105.0999985,105.9000015,890781
2023-02-01 15:30:00+00:00,106.2200012,106.2200012,107.3000031,105.1600037,107.1900024,705876
2023-02-01 16:30:00+00:00,106.0199966,106.0199966,106.7900009,105.7799988,106.1999969,422520
